brand,model,screen_size,color,harddisk,cpu,ram,OS,special_features,graphics,graphics_coprocessor,cpu_speed,rating,Price,Sale Product Count,Total Sales,Available Stock
DELL,Latitude,15.6 Inches,Silver,512 GB,Core i5 Family,32 GB,Windows 11 Pro,Backlit Keyboard,Integrated,,,,1462.07,25,36551.75,277.0
LENOVO,Yoga C940-14IIL,14 Inches,Gray,512 GB,Core i7-1065G7,8 GB,Windows 10,"Fingerprint Reader,Pen",Integrated,,,4.0,389.99,64,24959.36,280.0
ASUS,ASUS Rog Strix,15.6 Inches,Electro Punk,512 GB,Corei7-10750H,8 GB,Windows 10,Rgb Backlit Keyboard,Dedicated,,,5.0,787.99,65,51219.35,465.0
ACER,Chromebook 315 CB315-4H,15.6 Inches,Pure Silver,,Celeron,4 GB,Chrome OS,,UHD Graphics,Intel UHD Graphics,1.1 GHz,4.5,569.77,54,30767.58,83.0
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,3196.99,45,143864.55,198.0
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,1599.95,24,38398.8,413.0
LENOVO,Lenovo Slim 3i Chromebook,14 Inches,,,Intel Atom,4 GB,Chrome OS,,Integrated,,,,1895.92,34,64461.28,142.0
HP,17-by4013dx,15.6 Inches,,256 GB,Athlon Silver 3050U,8 GB,Windows 11 Home,,Integrated,AMD Radeon Graphics,,4.5,1849.0,14,25886.0,83.0
LENOVO,Chromebook Flex 5,13.3 Inches,Graphite Grey,64 GB,Core i3-10110U,4 GB,Chrome OS,"Anti-glare,Backlit Keyboard,Narrow Bezels",Integrated,,,5.0,639.99,27,17279.73,336.0
DELL,Latitude 5320 2-in-1,13.3 Inches,Black,512 GB,Core i7,16 GB,Windows 10 Pro,Wifi & Bluetooth,Integrated,,,3.4,1597.77,16,25564.32,312.0
DELL,Latitude 5430 Laptop,14 Inches,Black,1000 GB,Core i7,32 GB,Windows 11 Pro,,Integrated,Intel Integrated Graphics,,5.0,840.99,58,48777.42,294.0
ASUS,ASUS Chromebook C423,14 Inches,Silver,32 GB,Celeron,4 GB,Chrome OS,"Anti-glare,Ultra-narrow Bezel",,Intel HD Graphics 500,,4.2,802.99,34,27301.66,262.0
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5.0,1030.99,19,19588.81,302.0
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4,821.99,59,48497.41,379.0
ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,,1599.77,60,95986.2,133.0
ASUS,P1512CEA-XS51,15.6 Inches,,256 GB,Core i5 Family,8 GB,Windows 11 Pro,,Integrated,,2.4,,758.99,38,28841.62,465.0
LENOVO,T450,14 Inches,,256 GB,Core i5 5300U,16 GB,Windows 10 Home,Speakers,Integrated,Intel HD 5500,,5.0,999.99,16,15999.84,158.0
DELL,xps 15 7590,15.6 Inches,,512 GB,Core i7,16 GB,Windows 10 Pro,"Anti-glare,Backlit Keyboard,Fingerprint Reader",NVIDIA GeForce GTX 1650 4GB,Dedicated,,3.5,673.09,31,20865.79,415.0
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,1635.99,24,39263.76,219.0
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,1599.0,51,81549.0,378.0
HP,,15.6 Inches,,512 GB,,,,,,Intel Iris,,5.0,389.99,13,5069.87,101.0
LENOVO,ThinkPad T15g Gen 2,15.6 Inches,Black,1 TB,Core i9,32 GB,Windows 10 Pro,,GeForce RTX 3080,NVIDIA GeForce RTX 3080,,4.5,599.44,27,16184.88,153.0
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,524.0,49,25676.0,361.0
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,389.99,42,16379.58,133.0
DELL,XPS 9320 Laptop,13.4 Inches,Silver,512 GB,Core i7,16 GB,Windows 11 Pro,,Integrated,Intel Integrated Graphics,,,1699.0,34,57766.0,320.0
DELL,Precision 3000,15.6 Inches,Titan Gray,512 GB,Core i7,16 GB,Windows 10 Pro,Anti-glare Screen,T550,,,,639.99,50,31999.5,434.0
LENOVO,Lenovo Thinkpad,14 Inches,,256 GB,Core i5,8 GB,Windows 11,,Integrated,Intel HD Graphics 520,2.4 GHz,,570.0,50,28500.0,236.0
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,2994.02,59,176647.18,485.0
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,589.99,41,24189.59,391.0
HP,ZBook Firefly 16 G9,16 Inches,,512 GB,Core i7,32 GB,Windows 11 Pro,Anti-glare Screen,"T500,Iris Xe Graphics",NVIDIA Intel T500 Iris Xe Graphics,,,777.02,50,38851.0,131.0
DELL,Precision 7770,17.3 Inches,,512 GB,Core i7 Family,64 GB,Windows 11 Pro,Anti-glare,Dedicated,NVIDIA RTX A4500 16GB GDDR6 (4DP),,,961.9,37,35590.3,476.0
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,2273.0,20,45460.0,419.0
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,3345.99,41,137185.59,174.0
PANASONIC,Panasonic Toughbook,13.1 Inches,silver/black,250 GB,Core i5,4 GB,Windows 7,Water Proof,Integrated,,,2.7,685.0,63,43155.0,467.0
ACER,Chromebook,15.6 Inches,Black,,Celeron 3205U,4 GB,Chrome OS,,Integrated,Intel HD Graphics,1.5 GHz,3.6,1869.0,23,42987.0,449.0
DELL,i3500-7722BLK-PUS,15.6 Inches,Black,512 GB,Corei7-10750H,16 GB,Windows 10 Home,Anti-glare,NVIDIA GeForce RTX2060,,,4.3,1599.0,34,54366.0,129.0
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,928.99,13,12076.87,325.0
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,389.99,44,17159.56,473.0
DELL,Dell Inspiron 16 5625,16 Inches,Silver,1000 GB,AMD Ryzen 7,16 GB,Windows 11 Home,,Integrated,AMD Radeon Graphics,,5.0,999.99,53,52999.47,166.0
MSI,Summit E14Evo A12M-026,14 Inches,Ink Black,512 GB,Core i5,16 GB,Windows 11 Pro,,Integrated,Intel Iris Xe Graphics,,,389.99,58,22619.42,147.0
MICROSOFT,Laptop 4 13 i5/8GB/512GB ICE BLUE,13.5 Inches,Ice Blue,512 GB,Intel Core i5,8 GB,Windows 10 Home,Dolby,Integrated,,,4.4,999.99,30,29999.7,165.0
DELL,Latitude 7000,14 Inches,,512 GB,Core i7,32 GB,Windows 11 Pro,Anti-glare Screen,Iris Xe Graphics,,,,976.99,61,59596.39,464.0
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5.0,689.49,15,10342.35,482.0
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4,459.99,65,29899.35,389.0
ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,,286.0,25,7150.0,350.0
HP,HP EliteBook,14 Inches,,256 GB,Core i5,8 GB,Windows 10 Pro,,Integrated,,2.4 GHz,,1929.99,21,40529.79,327.0
HP,Dragonfly Folio G3,13.5 Inches,,512 GB,Core i7,16 GB,Windows 11 Pro,"Corning Gorilla Glass 7, Miracast Technology",Iris Xe Graphics,Intel Iris Xe Graphics,,,389.99,42,16379.58,81.0
ASUS,G614JV,16 Inches,Eclipse Gray,2 TB,Core i7,32 GB,Windows 11 Pro,Backlit Keyboard,Dedicated,,,,1046.99,46,48161.54,283.0
ASUS,ASUS VivoBook,14 Inches,grey,128 GB,Core i3,4 GB,Windows 10 Home,Active Stylus,Integrated,,,4.4,252.54,22,5555.88,318.0
DELL,Latitude 3000,14 Inches,Black,256 GB,Core i3,8 GB,Windows 11 Pro,Anti-glare Screen,UHD Graphics,,,,1599.0,37,59163.0,378.0
DELL,Precision 5570 Laptop,15.6 Inches,Black,512 GB,Core i9,64 GB,Windows 11 Pro,,Integrated,Intel Integrated Graphics,,,1086.71,27,29341.17,469.0
DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,,2931.99,49,143667.51,246.0
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,2337.99,24,56111.76,443.0
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,639.99,14,8959.86,372.0
HP,HP Chromebook 11,11.6 Inches,Black,,Celeron N,4 GB,Chrome OS,Anti-glare Screen,Integrated,Intel HD Graphics 400,,4.0,1079.99,61,65879.39,342.0
DELL,Dell XPS,13.3 Inches,Silver/Carbon Fiber,128 GB,Core i5,8 GB,Windows 10,Full Hd Anti-glare,Integrated,,,3.6,637.35,37,23581.95,466.0
LENOVO,ThinkPad E14 Gen 4,14 Inches,,256 GB,Ryzen 5,16 GB,Windows 11,Anti-glare Screen,Radeon Graphics,AMD Radeon Graphics,,,1399.0,26,36374.0,348.0
APPLE,,13.3 Inches,,256 GB,,16 GB,Mac OS,,Dedicated,,,3.9,389.99,35,13649.65,244.0
DELL,Latitude 7640 Laptop,16 Inches,Black,512 GB,Core i7,32 GB,Windows 11 Pro,,Integrated,Intel Integrated Graphics,,,1309.99,20,26199.8,334.0
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,239.99,59,14159.41,281.0
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,1899.0,32,60768.0,275.0
LENOVO,Thinkpad,11.6 Inches,Black,128 GB,Celeron,4 GB,Windows 10 Pro,Anti Glare Coating,Integrated,,,3.7,1014.99,23,23344.77,312.0
DELL,Precision 3000,15.6 Inches,Titan Gray,256 GB,Core i5,16 GB,Windows 10 Pro,Anti-glare Screen,GT2 Graphics,,,,1499.0,61,91439.0,399.0
DELL,XPS 9315 Laptop,13.4 Inches,Platinum Silver,512 GB,Core i5,16 GB,Windows 11 Pro,,Integrated,Intel Integrated Graphics,,,1599.0,61,97539.0,271.0
MICROSOFT,Surface Laptop,15 Inches,Matte Black,256 GB,Ryzen 5 2600X,8 GB,Windows 10 Home,,Integrated,AMD Radeon Vega 9,,4.2,1599.0,65,103935.0,401.0
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5.0,1210.99,27,32696.73,236.0
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4,916.66,27,24749.82,443.0
ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,,1099.0,47,51653.0,383.0
ASUS,Rog Strix Scar G533Z,15.6 Inches,Off Black,1 TB,Intel Core i9,16 GB,Windows 10 Home,"HD Audio, Backlit Keyboard, Anti Glare Coating, Numeric Keypad",Dedicated,,,,949.31,51,48414.81,278.0
DELL,Inspiron 7620 Laptop,16 Inches,Platinum Silver,1000 GB,Core i7,40 GB,Windows 11 Home,,Integrated,Intel Integrated Graphics,,5.0,899.99,13,11699.87,97.0
IVIEW,IVIEW-1430NB,14.1 Inches,Black,64 GB,Celeron N3350,4 GB,Windows 10,,Integrated,Embedded,,4.3,459.99,28,12879.72,486.0
LENOVO,82LX0050US,15.6 Inches,,128 GB,Intel Mobile CPU,4 GB,Windows 11 S,"Bezels,Dolby,Stereo Speakers",Integrated,,3.3,,4299.0,19,81681.0,274.0
APPLE,,,,512 GB,,24 GB,Mac OS,,Dedicated,,,,606.15,12,7273.8,486.0
DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,,479.0,22,10538.0,113.0
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,999.99,47,46999.53,448.0
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,1171.31,25,29282.75,275.0
DELL,Inspiron 3511,15.6 Inches,,512 GB,Core i5,16 GB,Windows 10 Pro,,Integrated,Intel UHD Graphics,1 GHz,,999.99,30,29999.7,102.0
DELL,Precision 5000,15.6 Inches,Aluminum Titan Gray,512 GB,Core i7 Family,32 GB,Windows 10 Pro,Anti-glare Screen,RTX A2000,,,4.0,649.99,56,36399.44,304.0
DELL,Latitude,14 Inches,,512 GB,Core i7,16 GB,Windows 11 Pro,,Integrated,Intel Iris Xe Graphics,2.8 GHz,,1229.0,27,33183.0,83.0
APPLE,,16.2 Inches,,1 TB,Apple M2,32 GB,Mac OS,Backlit Keyboard,Integrated,,3.5 GHz,,1683.99,13,21891.87,179.0
DELL,Alienware X17 R2 Laptop,17.3 Inches,Lunar Light,2000 GB,Core i9,64 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3080,,5.0,835.57,37,30916.09,116.0
DELL,G15,15.6 Inches,,256 GB,Core i5,8 GB,Windows 11 Home,,RTX 3050,,2.6 GHz,,1699.0,54,91746.0,301.0
ASUS,ASUS VivoBook,11.6 Inches,,32 GB,Celeron N,2 GB,Windows 10,,Integrated,,1.1 GHz,4.2,1096.99,61,66916.39,416.0
HP,,15.6 Inches,Black,1000 GB,Ryzen 5,32 GB,Windows 11,Backlit Keyboard,Integrated,AMD,,5.0,459.99,61,28059.39,268.0
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5.0,319.99,54,17279.46,398.0
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4,599.0,52,31148.0,222.0
ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,,1575.99,22,34671.78,353.0
LENOVO,Lenovo IdeaPad,15.6 Inches,Black,1 TB,Pentium Other,20 GB,Windows 11,Anti-glare,Integrated,,,4.2,320.0,49,15680.0,433.0
ACER,Swift Go 14,14 Inches,,512 GB,Intel Core i5,8 GB,Windows 11 Home,"Fingerprint Reader, Backlit Keyboard",Integrated,Intel Iris Xe Graphics,,4.3,1699.0,44,74756.0,368.0
DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,,1782.43,55,98033.65,375.0
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,639.99,23,14719.77,393.0
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,289.0,45,13005.0,434.0
DELL,Dell Latitude,11.6 Inches,Black,,,16 GB,Windows 10 Pro,,Integrated,Intel HD Graphics 520,,,2501.99,43,107585.57,462.0
DELL,Latitude 5420,14 Inches,Silver,,Core i5,8 GB,Windows 10 Pro,Anti Glare,Integrated,,,3.7,799.0,58,46342.0,292.0
ACER,Chromebook 311,11.6 Inches,Black,32 GB,MediaTek MT8183,4 GB,Chrome OS,,Integrated,Intel Integrated Graphics,,4.4,719.99,61,43919.39,204.0
GIGABYTE,U4 UD-50US823SO,14 Inches,Silver,512 GB,Intel Mobile CPU,16 GB,Windows 11 Home,Thin Bezel,Integrated,,,3.3,1699.0,25,42475.0,372.0
HP,Laptop,15.6 Inches,,2 TB,Core i3,32 GB,Windows 10 Pro,,Integrated,Intel Iris Xe Graphics,1 GHz,,919.99,65,59799.35,439.0
HP,,15.6 Inches,,500 GB,Core i5 6200U,8 GB,Windows 10 Pro,Anti-glare,Integrated,Intel HD Graphics 520,2.3 GHz,3.3,370.23,12,4442.76,390.0
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5.0,999.99,48,47999.52,231.0
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4,1999.0,45,89955.0,155.0
ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,,860.99,36,30995.64,404.0
ASUS,Vivobook,11.6 Inches,,32 GB,Celeron N,4 GB,Windows 10 S,,Integrated,Intel UHD Graphics 605,1.1 GHz,4.0,459.99,22,10119.78,409.0
DELL,Latitude,15.6 Inches,Silver,1 TB,Core i7 Family,32 GB,Windows 11 Pro,Backlit Kb,Integrated,,,4.3,1179.99,48,56639.52,406.0
DELL,Latitude 7000,14 Inches,,256 GB,Core i7,16 GB,Windows 11 Pro,Anti-glare Screen,Iris Xe Graphics,Intel Iris Xe Graphics,,,1370.49,34,46596.66,492.0
LENOVO,ThinkPad X1 Extreme Gen 5,16 Inches,,512 GB,Core i7,16 GB,Windows 11 Pro,Anti-glare Screen,GeForce RTX 3050 Ti,NVIDIA GeForce RTX 3050 Ti,,,589.99,64,37759.36,391.0
DELL,,13.3 Inches,,512 GB,,8 GB,Windows 11 Home,Backlit Keyboard,Integrated,,,1.0,2549.0,27,68823.0,136.0
DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,,1349.99,24,32399.76,312.0
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,1099.99,52,57199.48,408.0
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,3415.99,43,146887.57,321.0
DELL,XPS 9520 Laptop,15.6 Inches,Platinum Silver,512 GB,Core i7,16 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3050,,,1096.99,53,58140.47,99.0
DELL,XPS 9320 Laptop,13.4 Inches,Black,2000 GB,Core i7,32 GB,Windows 11 Pro,,Integrated,Intel Integrated Graphics,,,389.99,24,9359.76,258.0
DELL,Dell 5000,14 Inches,Platinum Silver,512 GB,Core i7 Family,16 GB,Windows 11 Pro,Fingerprint,Dedicated,,,,532.49,52,27689.48,475.0
LENOVO,ThinkPad P16s G1,16 Inches,Black,512 GB,Core i7,16 GB,Windows 11 Pro,Anti-glare Screen,QN20-M1-R,,,,999.99,55,54999.45,233.0
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5.0,589.99,41,24189.59,165.0
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4,1139.0,32,36448.0,236.0
ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,,979.99,47,46059.53,305.0
SAMSUNG,Chromebook 4,11.6 Inches,Silver,64 GB,Celeron N3450,4 GB,Chrome OS,,Integrated,Intel UHD Graphics 600,,4.9,229.99,25,5749.75,410.0
DELL,XPS 9530 Laptop,15.6 Inches,Platinum Silver,2000 GB,Core i7,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 4050,,,899.99,60,53999.4,352.0
LENOVO,Chromebook Flex 3,11.6 Inches,Almond,64 GB,Celeron N4020,4 GB,Chrome OS,,Integrated,Intel UHD Graphics 600,,4.3,589.99,24,14159.76,248.0
DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,,589.99,47,27729.53,482.0
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,459.99,22,10119.78,300.0
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,764.99,57,43604.43,259.0
DELL,Precision 5000,14 Inches,,512 GB,Core i7,16 GB,Windows 10 Pro,Anti-glare Screen,RTX A1000,NVIDIA RTX A1000,,,2675.99,30,80279.7,447.0
DELL,Dell Precision 5560,15 Inches,Black,,Intel Core i7,32 GB,No,,,,,,1299.99,44,57199.56,242.0
LG,GRAM 16 2-in-1,16 Inches,Silver,4 TB,Core i7 Family,16 GB,Windows 11 Pro,"HD Audio, Backlit Keyboard, Memory Card Slot, Numeric Keypad",Integrated,,,,1599.0,33,52767.0,121.0
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,1552.99,31,48142.69,399.0
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,1672.99,54,90341.46,249.0
DELL,Dell 5000,16 Inches,Platinum Silver,4 TB,Ryzen 7,64 GB,Windows 11 Pro,"Fingerprint Reader, HD Audio, Backlit Keyboard, Anti Glare Coating, Memory Card Slot",Integrated,,,,999.99,56,55999.44,200.0
ACER,PH315-55,15.6 Inches,Abyss Black,2 TB,Core i7 Family,32 GB,Windows 11 Pro,,Dedicated,NVIDIA GeForce RTX 3060,,,3461.33,20,69226.6,102.0
DELL,Precision 3000,15.6 Inches,,512 GB,Core i7,16 GB,Windows 11 Pro,Anti-glare Screen,Dedicated,,5 GHz,,1406.04,31,43587.24,465.0
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,1996.29,35,69870.15,417.0
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,1069.81,31,33164.11,359.0
LG,LG gram,15.6 Inches,Silver,256 GB,Core i5 2.3 GHz,8 GB,Windows 10 Home,,Integrated,Intel Iris Plus,,4.0,389.99,37,14429.63,241.0
DELL,XPS,17 Inches,Platinum Silver,1 TB,Core I7 11800H,16 GB,Windows 10,"Backlit Keyboard,Fingerprint Reader",Dedicated,,,3.8,999.99,19,18999.81,127.0
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,953.82,62,59136.84,260.0
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,252.98,20,5059.6,403.0
LENOVO,ThinkPad P14s Gen 3,14 Inches,Black,512 GB,Core i7,16 GB,Windows 11 Pro,Anti-glare Screen,T550,,,,468.0,57,26676.0,392.0
MICROSOFT,Surface Laptop,13.5 Inches,Black,512 GB,Core i5,16 GB,Windows 11 Home,Dolby,Integrated,,,,2109.99,56,118159.44,494.0
DELL,Latitude,15.6 Inches,,2 TB,Core i5,16 GB,Windows 10 Pro,,Integrated,Intel Iris Xe Graphics,,5.0,639.99,15,9599.85,269.0
DELL,7000,13.3 Inches,Grey,,AMD Ryzen 7,12 GB,Windows 10,Backlit Keyboard,Integrated,AMD Radeon RX Vega 10,,3.9,999.99,27,26999.73,462.0
HP,HP 14 laptop,14 Inches,Silver,128 GB,Core i3,4 GB,Windows 10 Home,Anti-glare,Integrated,,,3.7,1752.99,49,85896.51,103.0
DELL,Latitude 5420,15.6 Inches,,256 GB,Core i5,8 GB,Windows 10 Pro,Anti Glare,Integrated,Integrated,,4.2,195.97,22,4311.34,483.0
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5.0,231.85,37,8578.45,401.0
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4,528.18,28,14789.04,208.0
ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,,1546.84,55,85076.2,90.0
ACER,C771-C4TM,11.6 Inches,Black,32 GB,Celeron,1 GB,Chrome OS,Spill Resistant,Integrated,,,4.2,1599.0,61,97539.0,305.0
DELL,Dell Latitude,13.3 Inches,,256 GB,Core i5,8 GB,Windows 10 Pro,,Integrated,Intel Iris,,5.0,1699.0,60,101940.0,432.0
HP,PRO X2 612G1+KEYBOARD,12.5 Inches,Silver,256 GB,Core i5,8 GB,Windows 10 Pro 64 Bit Multi-Language Support English/French/Spanish,,Integrated,Integrated Graphics,,,1259.0,37,46583.0,363.0
DELL,Latitude 7420 Laptop,14 Inches,Black,512 GB,Core i7,32 GB,Windows 10 Pro,Wifi & Bluetooth,Integrated,,,,2425.99,23,55797.77,435.0
LENOVO,ThinkPad T15p Gen 3,15.6 Inches,Black,256 GB,Core i7,8 GB,Windows 11,Anti-glare Screen,GeForce RTX 3050,,,,2053.99,30,61619.7,152.0
DELL,Latitude 7420,14 Inches,,256 GB,Core i5,16 GB,Windows 10 Pro,Anti Glare,Integrated,Intel Iris Xe Graphics,,5.0,959.45,27,25905.15,208.0
DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,,589.99,29,17109.71,186.0
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,493.49,54,26648.46,309.0
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,589.99,63,37169.37,183.0
HP,38S12UT#ABA,13.3 Inches,Black,,Core i5,16 GB,Windows 10 Pro,,Integrated,,2.4 GHz,,1900.08,46,87403.68,370.0
DELL,Dell 5000,16 Inches,Platinum Silver,512 GB,Ryzen 7,16 GB,Windows 11,"Fingerprint Reader, HD Audio, Backlit Keyboard, Anti Glare Coating, Memory Card Slot",Integrated,,,,589.99,13,7669.87,87.0
LENOVO,ThinkPad T16 Gen 1,16 Inches,,256 GB,Ryzen 5,16 GB,Windows 11 Pro,Anti-glare Screen,Radeon Graphics,AMD Radeon Graphics,,,1599.0,33,52767.0,428.0
LENOVO,Lenovo ThinkPad X1 Carbon Gen 11,14 Inches,Black,512 GB,Core i7 Family,32 GB,Windows 11 Pro,,Integrated,Intel Iris Xe Graphics,,,844.58,56,47296.48,499.0
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5.0,589.99,60,35399.4,491.0
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4,3699.0,32,118368.0,320.0
ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,,724.99,64,46399.36,366.0
